date,hour,temp,humidity,wind_speed,weather,dayofweek
20170113,8,4,93,7.2,4,5
20170113,9,6,87,14.4,4,5
20170113,10,7,76,18.0,4,5
20170113,11,9,62,21.6,5,5
20170113,12,10,54,18.0,5,5
20170113,13,11,41,18.0,5,5
20170113,14,11,41,21.6,1,5
20170113,15,10,43,18.0,1,5
20170113,16,10,37,18.0,1,5
20170113,17,9,40,14.4,1,5
20170113,18,8,43,14.4,1,5
20170113,19,6,53,10.8,1,5
20170113,20,7,49,18.0,1,5
20170113,21,7,61,14.4,1,5
20170113,22,6,66,14.4,1,5
20170113,23,6,66,14.4,1,5
20170114,8,4,65,10.8,1,6
20170114,9,6,61,18.0,1,6
20170114,10,6,57,25.2,1,6
20170114,11,7,49,21.6,1,6
20170114,12,8,50,18.0,1,6
20170114,13,8,46,18.0,1,6
20170114,14,8,43,21.6,1,6
20170114,15,7,43,21.6,1,6
20170114,16,7,46,21.6,1,6
20170114,17,5,53,18.0,1,6
20170114,18,5,53,18.0,1,6
20170114,19,5,53,18.0,1,6
20170114,20,5,53,14.4,1,6
20170114,21,4,56,10.8,1,6
20170114,22,4,65,10.8,1,6
20170114,23,3,70,10.8,1,6
20170115,8,4,65,14.4,1,7
20170115,9,6,53,25.2,1,7
20170115,10,7,49,21.6,1,7
20170115,11,8,46,18.0,1,7
20170115,12,7,53,18.0,1,7
20170115,13,7,49,18.0,1,7
20170115,14,7,46,14.4,1,7
20170115,15,6,53,18.0,1,7
20170115,16,6,53,18.0,1,7
20170115,17,5,61,14.4,1,7
20170115,18,5,57,14.4,1,7
20170115,19,5,61,14.4,1,7
20170115,20,5,61,14.4,1,7
20170115,21,5,57,14.4,1,7
20170115,22,4,65,14.4,1,7
20170115,23,4,65,10.8,1,7
20170116,8,3,81,7.2,1,1
20170116,9,6,61,14.4,1,1
20170116,10,7,57,10.8,1,1
20170116,11,7,49,10.8,1,1
20170116,12,8,53,14.4,1,1
20170116,13,8,50,10.8,1,1
20170116,14,8,50,14.4,1,1
20170116,15,9,43,10.8,1,1
20170116,16,8,46,14.4,1,1
20170116,17,7,53,18.0,1,1
20170116,18,6,57,21.6,1,1
20170116,19,6,53,14.4,1,1
20170116,20,6,57,10.8,1,1
20170116,21,5,65,10.8,1,1
20170116,22,5,65,10.8,1,1
20170116,23,5,65,10.8,1,1
20170117,8,6,81,7.2,1,2
20170117,9,8,66,10.8,1,2
20170117,10,9,62,14.4,1,2
20170117,11,10,58,10.8,1,2
20170117,12,10,58,14.4,1,2
20170117,13,9,66,10.8,1,2
20170117,14,9,66,10.8,1,2
20170117,15,10,62,10.8,1,2
20170117,16,9,66,7.2,2,2
20170117,17,9,71,10.8,1,2
20170117,18,9,71,10.8,1,2
20170117,19,9,71,7.2,1,2
20170117,20,9,76,7.2,2,2
20170117,21,9,76,10.8,1,2
20170117,22,9,76,14.4,1,2
20170117,23,9,76,10.8,1,2
20170118,8,9,82,14.4,1,3
20170118,9,9,82,18.0,2,3
20170118,10,8,93,14.4,2,3
20170118,11,8,87,14.4,2,3
20170118,12,8,93,10.8,2,3
20170118,13,8,87,14.4,2,3
20170118,14,8,87,18.0,1,3
20170118,15,8,87,18.0,1,3
20170118,16,8,81,21.6,2,3
20170118,17,8,81,18.0,2,3
20170118,18,8,76,18.0,2,3
20170118,19,8,71,14.4,2,3
20170118,20,8,76,14.4,2,3
20170118,21,8,81,14.4,2,3
20170118,22,8,76,7.2,2,3
20170118,23,8,76,10.8,1,3
20170119,8,7,87,7.2,1,4
20170119,9,8,81,7.2,1,4
20170119,10,8,76,14.4,1,4
20170119,11,8,76,10.8,1,4
20170119,12,8,76,7.2,1,4
20170119,13,8,76,10.8,1,4
20170119,14,8,76,10.8,1,4
20170119,15,8,76,7.2,1,4
20170119,16,8,76,10.8,1,4
20170119,17,8,76,10.8,1,4
20170119,18,8,76,14.4,1,4
20170119,19,8,76,18.0,1,4
20170119,20,8,76,18.0,1,4
20170119,21,7,87,14.4,1,4
20170119,22,8,76,18.0,1,4
20170119,23,7,76,21.6,1,4
20170120,8,2,52,32.4,1,5
20170120,9,2,44,36.0,1,5
20170120,10,3,41,36.0,1,5
20170120,11,4,33,32.4,1,5
20170120,12,4,36,28.8,1,5
20170120,13,4,31,32.4,1,5
20170120,14,4,33,28.8,1,5
20170120,15,4,31,28.8,1,5
20170120,16,3,36,21.6,1,5
20170120,17,2,38,21.6,1,5
20170120,18,1,41,18.0,1,5
20170120,19,1,48,14.4,1,5
20170120,20,0,60,14.4,1,5
20170120,21,0,64,14.4,1,5
20170120,22,-2,74,10.8,1,5
20170120,23,-2,74,7.2,1,5
20170121,8,0,75,10.8,1,6
20170121,9,1,60,10.8,1,6
20170121,10,4,33,10.8,1,6
20170121,11,5,31,10.8,1,6
20170121,12,6,31,10.8,1,6
20170121,13,6,34,10.8,1,6
20170121,14,8,32,10.8,1,6
20170121,15,7,34,18.0,1,6
20170121,16,7,37,14.4,1,6
20170121,17,6,39,14.4,1,6
20170121,18,5,45,7.2,1,6
20170121,19,4,45,10.8,1,6
20170121,20,3,48,14.4,1,6
20170121,21,3,48,10.8,1,6
20170121,22,3,48,7.2,1,6
20170121,23,3,48,10.8,1,6
20170122,8,2,65,14.4,1,7
20170122,9,3,65,18.0,1,7
20170122,10,5,53,18.0,1,7
20170122,11,6,46,18.0,1,7
20170122,12,7,34,21.6,1,7
20170122,13,7,31,18.0,1,7
20170122,14,7,34,18.0,1,7
20170122,15,7,31,14.4,1,7
20170122,16,6,27,21.6,1,7
20170122,17,5,33,14.4,1,7
20170122,18,4,36,14.4,1,7
20170122,19,2,44,14.4,1,7
20170122,20,3,52,14.4,1,7
20170122,21,3,45,10.8,1,7
